product_title,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Multi Mineral Blend,2006,86339.820,-22719.920,-247.430,63372.470,390.400,63762.870
Multi Mineral Blend (Pre-Order),360,9966.380,-319.020,-69.980,9577.380,32.330,9609.710
Inflammation Defense,219,9625.070,-2756.980,-32.990,6835.100,37.760,6872.860
Hema Health,223,8717.350,-2588.580,-17.490,6111.280,27.140,6138.420
Endocrine Bliss,147,6348.010,-1770.570,0.000,4577.440,38.620,4616.060
Conscious Collagen Skin Serum,105,2549.090,-390.000,0.000,2159.090,15.300,2174.390
Alkaline Now,387,5529.890,-3700.500,0.000,1829.390,10.770,1840.160
Consultation,1,1800.000,0.000,0.000,1800.000,0.000,1800.000
Multi Mineral Blend (Pre-Order - Ships on 07/01/2022),42,1469.580,-69.980,0.000,1399.600,7.350,1406.950
Heavy Metal Detox,15,944.960,-70.000,0.000,874.960,9.450,884.410
Multi Mineral Blend (Pre-Order - Shipping Now),12,419.880,0.000,0.000,419.880,9.620,429.500
Health & Wealth Slim Power Pendant,5,251.940,0.000,-44.990,206.950,3.150,210.100
Protector Power Pendant,5,278.970,-98.250,0.000,180.720,3.630,184.350
Chakra Tuner Power Pendant,4,174.960,-7.000,0.000,167.960,3.150,171.110
Truth Power Pendant,4,153.960,-14.730,0.000,139.230,0.000,139.230
Orgone Pocket Pal,4,103.960,0.000,0.000,103.960,2.100,106.060
Prosperity Power Pendant,3,104.970,-13.990,0.000,90.980,0.000,90.980
EMF Guard Slim Power Pendant,2,150.000,-67.500,0.000,82.500,0.000,82.500
Pregnancy Power Pendant,2,69.980,-10.490,0.000,59.490,0.000,59.490
Tranquility Slim Power Pendant,1,44.990,0.000,0.000,44.990,0.000,44.990
Inner Vision Power Pendant,1,44.990,0.000,0.000,44.990,0.000,44.990
Inner Balance Power Pendant,1,34.990,0.000,0.000,34.990,0.000,34.990
Higher Mind Power Pendant,1,38.990,-7.800,0.000,31.190,0.000,31.190
Deep Sleep Power Pendant,1,34.990,-7.000,0.000,27.990,0.000,27.990
Crystal Detox Power Pendant,1,34.990,-7.000,0.000,27.990,0.000,27.990
Shipping Fee,1,5.000,0.000,0.000,5.000,0.000,5.000
Shipping,1,5.000,0.000,0.000,5.000,0.000,5.000
Special Order,0,0.000,0.000,0.000,0.000,0.000,0.000
Surprise Item,1,0.000,0.000,0.000,0.000,0.000,0.000
