discount_name,orders,total_gross_sales,total_discount_amount,total_returns,total_net_sales,total_shipping_price,total_tax_amount,grand_total_sales
X46UB1WU,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
4W7AXQFQ,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
CGJJ3DHS,1,149.970,-22.490,0.000,127.480,0.000,8.920,136.400
PFESTADS,1,94.980,-14.240,0.000,80.740,9.990,0.000,90.730
SWKXOMJR,1,54.990,-8.240,0.000,46.750,30.000,0.000,76.750
HDZKZOOO,1,199.960,-29.990,0.000,169.970,0.000,0.000,169.970
GRyIsrcd30,1,107.960,-5.000,0.000,102.960,7.500,0.000,110.460
KK3QYFRH,1,29.990,-4.490,0.000,25.500,9.990,0.000,35.490
BSTUFBY3,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
TADFP9XF,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
COV20,1,139.990,-27.990,0.000,112.000,0.000,0.000,112.000
5L8J68ZZ,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
5G10,1,159.980,-15.990,0.000,143.990,0.000,0.000,143.990
AXLUULOR,1,164.970,-24.740,0.000,140.230,0.000,0.000,147.240
QCJSZTMG,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
ODG1JD4V,1,164.970,-24.740,0.000,140.230,0.000,0.000,140.230
0LAJID4N,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
RXF7XCGG,1,299.940,-44.990,0.000,254.950,0.000,0.000,254.950
RTZ5QLYA,1,79.980,-11.990,0.000,67.990,9.990,0.000,77.980
T5IMFPHB,1,49.990,-7.490,0.000,42.500,9.500,3.650,55.650
BILEODBC,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
FXHK7ET1,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
EDAEAKRB,1,64.990,-9.740,0.000,55.250,9.990,0.000,65.240
J2HKKCCS,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
RBG12GFP,1,129.970,-19.490,0.000,110.480,0.000,0.000,110.480
D0GORHUX,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
VUR1ZH0C,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
FBT-BUNDLE-P-185262F1036,1,49.980,-14.990,0.000,34.990,9.000,0.000,43.990
LL3MV76R,1,84.980,-12.740,0.000,72.240,9.500,0.000,81.740
0TSBBWA3,1,49.990,-7.490,0.000,42.500,10.200,0.000,52.700
CS25,1,99.980,-24.990,0.000,74.990,36.660,0.000,111.650
6PYFATK9,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
3GQMMBL5,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
JMKTCXVF,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
GRrJwvbqM4,1,99.980,-9.990,0.000,89.990,0.000,0.000,89.990
OLJZICOG,1,189.960,-28.490,0.000,161.470,0.000,0.000,161.470
GRMsx6i6Ll,1,119.980,-11.990,0.000,107.990,0.000,0.000,107.990
GRPAYvXpDcDiS,1,99.980,-1.000,0.000,98.980,10.200,0.000,109.180
E2EY3FVS,1,649.860,-97.470,0.000,552.390,30.000,0.000,582.390
IWW5FEI0,1,199.960,-29.990,0.000,169.970,0.000,0.000,169.970
FBT-BUNDLE-P-18525EA21CD,1,162.940,-14.990,0.000,147.950,9.000,10.980,167.930
5IQRLUOB,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
6SYDFWJS,1,99.980,-14.990,0.000,84.990,5.000,6.750,96.740
YIFSQXGC,1,49.990,-7.490,0.000,42.500,9.500,3.650,55.650
AF72YNFJ,1,84.980,-12.740,0.000,72.240,9.500,0.000,81.740
S41NMMQK,1,199.960,-29.990,0.000,169.970,0.000,0.000,169.970
XNJ2NLWN,1,94.980,-14.240,0.000,80.740,9.500,6.320,98.560
571P1X89,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
8VVEQGUI,1,94.980,-14.240,0.000,80.740,5.000,0.000,85.740
EEWJ5DOE,1,114.980,-17.240,0.000,97.740,0.000,0.000,97.740
GWNML0HT,1,39.990,-5.990,0.000,34.000,9.990,0.000,43.990
6SFKF3JH,1,99.980,-14.990,0.000,84.990,9.500,0.000,94.490
HGLTXDDU,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
BLAKE15,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
JOBHGRET,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
8H8M5S6L,1,99.980,-14.990,0.000,84.990,5.000,0.000,89.990
EL5GZOZD,1,179.960,-26.990,0.000,152.970,0.000,0.000,152.970
GHZT7GXB,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
DJUOIL4E,1,49.990,-7.490,0.000,42.500,9.990,0.000,52.490
LWNHLNWV,1,149.970,-22.490,0.000,127.480,9.500,0.000,136.980
VITQOS4O,1,149.970,-22.490,0.000,127.480,0.000,0.000,127.480
EIO654WV,1,49.990,-7.490,0.000,42.500,5.000,0.000,47.500
DNIPZ7WA,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
UNELJCLE,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
CMSQSQUB,1,49.990,-7.490,0.000,42.500,9.500,0.000,52.000
FBT-BUNDLE-P-185113FE1D7,1,49.980,-14.990,-34.990,0.000,9.000,0.000,9.000
GJDW3ZOQ,1,39.990,-5.990,0.000,34.000,9.990,0.000,43.990
FBT-BUNDLE-P-18535A1E073,1,74.970,-14.990,0.000,59.980,9.000,0.000,71.980
EARTH15,1,149.970,-22.490,0.000,127.480,0.000,0.000,127.480
SABRINA,1,69.980,-17.490,0.000,52.490,9.500,4.350,66.340
P4ZZRIYM,1,154.970,-23.240,0.000,131.730,9.500,9.180,150.410
