product_title,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Multi Mineral Blend,1383,86130.670,-19953.440,-503.480,65673.750,297.300,65971.050
Inflammation Defense,147,8528.960,-2161.800,-53.990,6313.170,32.170,6345.340
5-Gen Detox,82,8919.420,-3424.700,0.000,5494.720,25.680,5520.400
Alkaline Plus,99,5829.330,-1281.360,0.000,4547.970,26.280,4574.250
Immunity Drops,86,5359.540,-1645.840,0.000,3713.700,8.170,3721.870
Endocrine Bliss,48,5104.700,-1354.950,-89.990,3659.760,26.480,3686.240
Deluxe Alkaline mineral blend,49,3059.490,-228.940,-119.980,2710.570,0.000,2710.570
Alkaline Skin Serum,60,3959.640,-1459.330,0.000,2500.310,15.470,2515.780
Alkaline Hair Serum,32,1767.820,-604.940,0.000,1162.880,7.000,1169.880
Herbal Flex,22,1264.820,-226.000,0.000,1038.820,6.970,1045.790
EVOKE,11,559.890,-29.980,0.000,529.910,3.000,532.910
Cell Phone EMF Shield Mind Guardian,9,491.910,0.000,0.000,491.910,3.360,495.270
16oz Master tonic,9,449.910,-29.980,0.000,419.930,0.000,419.930
Tini Stack,2,329.980,0.000,0.000,329.980,0.000,329.980
Aboriginal Power Pendant,4,399.980,-120.000,0.000,279.980,0.000,279.980
Health & Wealth Slim Power Pendant,3,279.970,0.000,0.000,279.970,0.000,279.970
Mucus Relief Tea,7,434.990,-195.000,0.000,239.990,0.000,239.990
Alkaline Survival Bundle,2,279.980,-55.980,0.000,224.000,7.840,231.840
"Connection to Higher Realms, Wealth, Forgiveness, Peace Pendant",3,299.970,-89.980,0.000,209.990,0.000,209.990
Protector Power Pendant,3,319.990,-120.000,0.000,199.990,4.200,204.190
Herbal flex,3,179.970,-18.000,0.000,161.970,7.860,169.830
Romance Tower,2,199.980,-39.980,0.000,160.000,0.000,160.000
Truth Power Pendant,2,219.990,-60.000,0.000,159.990,0.000,159.990
Hope Power Pendant,2,219.990,-60.000,0.000,159.990,0.000,159.990
Recovery Tea,3,149.970,0.000,0.000,149.970,4.200,154.170
Recovery Syrup,3,149.970,0.000,0.000,149.970,0.000,149.970
"Love, Forgiveness, New Beginnings, Peace Pendant",2,199.980,-59.980,0.000,140.000,0.000,140.000
Divine Will Tower,2,199.980,-59.980,0.000,140.000,0.000,140.000
Grounding Tower,2,199.980,-59.980,0.000,140.000,0.000,140.000
Bliss Tea,4,349.950,-212.470,0.000,137.480,0.000,137.480
PMS Relief Pack,1,134.990,0.000,0.000,134.990,0.000,134.990
SuperNature Power Pendant,2,240.000,-120.000,0.000,120.000,0.000,120.000
Tea Sampler Pack,4,119.960,-2.990,0.000,116.970,2.100,119.070
Evoke,2,119.980,-6.000,0.000,113.980,4.500,118.480
Reversible Face Mask,6,114.940,-4.500,0.000,110.440,3.150,113.590
Digest Tea,3,174.990,-65.000,0.000,109.990,2.280,112.270
EMF Guard Slim Power Pendant,1,99.990,0.000,0.000,99.990,0.000,99.990
"Compassion, Protection, Kindness, Romance Pendant",1,99.990,0.000,0.000,99.990,0.000,99.990
5G Repair Tuskelion Amulet,1,99.990,0.000,0.000,99.990,0.000,99.990
Shamanic Healer Slim Power Pendant,1,99.990,0.000,0.000,99.990,0.000,99.990
"Stamina, Truth, Loyalty, Passion Pendant",1,99.990,0.000,0.000,99.990,0.000,99.990
"Universal Protection, Wealth, Spiritual Guidance, Grounding Pendant",1,99.990,0.000,0.000,99.990,0.000,99.990
Prosperity Power Pendant,1,79.990,0.000,0.000,79.990,5.600,85.590
Healing Tower,1,99.990,-29.990,0.000,70.000,0.000,70.000
Focus Slim Power Pendant,1,120.000,-60.000,0.000,60.000,3.900,63.900
Pregnancy Power Pendant,1,120.000,-60.000,0.000,60.000,0.000,60.000
Shamanic Healer Power Pendant,1,120.000,-60.000,0.000,60.000,0.000,60.000
"Anxiety, Growth, Finances, Mental Clarity Pendant",1,59.990,-17.990,0.000,42.000,0.000,42.000
Alkaline Beard Oil,1,65.000,-32.500,0.000,32.500,0.000,32.500
Custom Herbal Blends and Meal Plans,9,8.910,0.000,0.000,8.910,0.000,8.910
Custom Herbal Blend & Holistic Assessment (with BLOOD WORK),4,7.960,0.000,0.000,7.960,0.000,7.960
Custom Herbal Blend & Holistic Assessment,2,3.980,0.000,0.000,3.980,0.000,3.980
Misc.,2,0.000,0.000,0.000,0.000,0.000,0.000
adam,1,0.000,0.000,0.000,0.000,0.000,0.000
EMF Phone Pendant,1,0.000,0.000,0.000,0.000,0.000,0.000
Mail,1,0.000,0.000,0.000,0.000,0.000,0.000
Triphala,1,0.000,0.000,0.000,0.000,0.000,0.000
