product_title,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales
Multi Mineral Blend,2261,119467.610,-21728.810,-248.970,97489.830,448.790,97938.620
Inflammation Defense,330,16412.090,-4496.160,0.000,11915.930,44.130,11960.060
Hema Health,238,11667.750,-3151.590,0.000,8516.160,27.290,8543.450
Endocrine Bliss,175,10763.470,-2902.850,0.000,7860.620,36.480,7897.100
Alkaline Now,131,5088.820,-1281.440,0.000,3807.380,14.640,3822.020
Conscious Collagen Skin Serum,63,2399.370,-392.100,0.000,2007.270,2.050,2009.320
5-Gen Detox,35,3149.690,-1006.900,-234.970,1907.820,26.900,1934.720
Cell Phone EMF Shield Mind Guardian,54,1659.460,-285.140,0.000,1374.320,6.400,1380.720
Alkaline Skin Serum,16,899.880,-154.980,0.000,744.900,9.380,754.280
Vegan Keratin Hair Serum,32,844.680,-118.700,0.000,725.980,1.460,727.440
Immunity Drops,13,679.890,-99.980,0.000,579.910,0.000,579.910
Alkaline Plus,5,325.000,-195.000,0.000,130.000,0.000,130.000
5G EMF Triskelion Bracelet,3,119.970,0.000,0.000,119.970,2.600,122.570
Chakra Tuner Power Pendant,2,119.980,0.000,0.000,119.980,0.000,119.980
5G DNA Repair Triskelion Bracelet,3,119.970,-3.990,0.000,115.980,0.000,115.980
Protector Power Pendant,2,179.000,-68.850,0.000,110.150,0.000,110.150
Arthritis Aid Triskelion Bracelet,3,109.970,0.000,0.000,109.970,0.000,109.970
Abundance Triskelion Bracelet,3,109.970,-6.990,0.000,102.980,0.000,102.980
Protector Slim Power Pendant,2,99.980,0.000,0.000,99.980,0.000,99.980
PSI Shield Triskelion Bracelet,3,99.970,-8.000,0.000,91.970,0.000,91.970
SuperNature Power Pendant,1,59.990,0.000,0.000,59.990,0.000,59.990
Aboriginal Power Pendant,1,59.990,0.000,0.000,59.990,0.000,59.990
Inner Vision Power Pendant,2,109.980,-49.990,0.000,59.990,0.000,59.990
Higher Mind Power Pendant,2,119.980,-68.980,0.000,51.000,3.830,54.830
DNA Repair Power Pendant,1,59.990,-8.990,0.000,51.000,0.000,51.000
Deep Sleep Power Pendant,1,49.990,0.000,0.000,49.990,0.000,49.990
Wisdom Power Pendant,1,59.990,-11.990,0.000,48.000,0.000,48.000
Crystal Detox Power Pendant,1,59.990,-12.000,0.000,47.990,0.000,47.990
Tranquility Slim Power Pendant,1,49.990,-4.990,0.000,45.000,0.000,45.000
Orgone Pocket Pal,1,39.990,0.000,0.000,39.990,2.800,42.790
Bliss Tea,1,65.000,-32.500,0.000,32.500,0.000,32.500
Herbal Flex,1,65.000,-32.500,0.000,32.500,0.000,32.500
Pregnancy Power Pendant,1,59.990,-59.990,0.000,0.000,0.000,0.000
test,1,0.000,0.000,0.000,0.000,0.000,0.000
Green Maeng Da,1,0.000,0.000,0.000,0.000,0.000,0.000
christmas,1,0.000,0.000,0.000,0.000,0.000,0.000
Test,1,0.000,0.000,0.000,0.000,0.000,0.000
New Lineup,1,0.000,0.000,0.000,0.000,0.000,0.000
Recovery Tea,1,39.990,-39.990,0.000,0.000,0.000,0.000
Birthday Presents,1,0.000,0.000,0.000,0.000,0.000,0.000
Inner Balance Power Pendant,1,59.990,-59.990,0.000,0.000,0.000,0.000
Return Box & Supplies,1,0.000,0.000,0.000,0.000,0.000,0.000
Testing,0,0.000,0.000,0.000,0.000,0.000,0.000
Sea Moss,1,0.000,0.000,0.000,0.000,0.000,0.000
Alkaline Hair Serum,1,39.990,-39.990,0.000,0.000,0.000,0.000
